FIELD,DATA_TYPE,ONTOLOGY,MAPPING
demographic.age,string,NCIT:C25150,ENOBIRTHQ1
demographic.biologicalSex,string,NCIT:C28421,CBIRTHCDQ2
demographic.gender,string,NCIT:C17357,NULL
demographic.ethnicity,[string],NCIT:C16564,PRNMH18WQ3_1n
demographic.ethnicity,[string],NCIT:C16564,PRNMH18WQ3_2n
demographic.genealogy,[string],NCIT_XXXXXX,NULL
demographic.birthPlace,[string],NCIT_XXXXXX,NULL
demographic.residence,[string],NCIT:C25273,NULL
demographic.education,[string],NCIT:C16529,NULL
demographic.householdStructure,[string],NCIT_XXXXXX,SES3YQ14d
lifestyle.tobacco,[string],NCIT:C29719,HENV3YQ34
lifestyle.tobacco,[string],NCIT:C29719,MSPIR1YQ12
lifestyle.alcohol,[string],NCIT:C81229,NULL
lifestyle.physicalActivity,[string],NCIT:C120914,CHLTH5YQ47
lifestyle.physicalActivity,[string],NCIT:C120914,CHLTH5YQ49
lifestyle.sleep,[string],NCIT:C73425,CSHQ3YQ3
lifestyle.sleep,[string],NCIT:C73425,CSHQ3YQ14a
lifestyle.sleep,[string],NCIT:C73425,BISQ15MQ10
lifestyle.sleep,[string],NCIT:C73425,CBQ5YQ38
lifestyle.nutrition,[string],NCIT:C28294,MSUPPL18WQ6_1
lifestyle.nutrition,[string],NCIT:C28294,NUTR18MQ10_6
lifestyle.nutrition,[string],NCIT:C28294,CHLTH6MQ57_3
Physician,[string],NCIT:C51798,NULL
diseases.bloodRelatedDisorders,[string],NCIT:C35814,MHLTH1YQ2_1
diseases.endocrine,[string],NCIT_C3009,MHLTH5YQ31_1a
diseases.endocrine,[string],NCIT_C3009,CHLTH5YQ21
diseases.mentalAndBehaviourDisorders,[string],NCIT:C2893,SCID1YQ82
diseases.mentalAndBehaviourDisorders,[string],NCIT:C2893,FHLTH5YQ1p
diseases.nervousSystem,[string],NCIT:C26835,NULL
diseases.digestiveSystem,[string],NCIT:C2990,NULL
diseases.respiratorySystem,[string],NCIT:C26871,CHCLA3YQ31
diseases.circulatorySystem,[string],NCIT:C2931,PRNMH18WQ4_14
diseases.oncological,[string],NCIT:C8278,PRNMH18WQ4_18a
diseases.oncological,[string],NCIT:C8278,PRNMH18WQ4_18
diseases.other,[string],NCIT_XXXXXX,NULL
symptoms,[string],NCIT_XXXXXX,CBQ5YQ101
symptoms,[string],NCIT_XXXXXX,CBQ5YQ12
symptoms,[string],NCIT_XXXXXX,CHLTH18MQ31_2k
symptoms,[string],NCIT_XXXXXX,RLE1YQ2_1
symptoms,[string],NCIT_XXXXXX,CHCLA5YQ19_4
symptoms,[string],NCIT_XXXXXX,CHLTH3MQ8f
symptoms,[string],NCIT_XXXXXX,CHLTH5YQ5a
physiologicalMeasurements.anthropometry.weight,[string],NCIT:C25208,CBIRTHCDQ27
physiologicalMeasurements.anthropometry.weight,[string],NCIT:C25208,CHCLA3YQ1
physiologicalMeasurements.anthropometry.height,[string],NCIT:C25347,CHCLA5YQ2
physiologicalMeasurements.anthropometry.height,[string],NCIT:C25347,CHCLA3YQ2
physiologicalMeasurements.circulationAndRespiration.bloodPressure,[string],NCIT:C54706,CHCLA3YQ4_1a
physiologicalMeasurements.circulationAndRespiration.heartRate,[string],NCIT:C49677,IPFTASSM18MQ15_2
nonPharmacologicalInterventions.surgicalInterventions,[string],NCIT_C119212,CSPIR5YQ2
medication.associatedDiseases,[string],NCIT_XXXXXX,CMEDBTHQ2_10
medication.associatedDiseases,[string],NCIT_XXXXXX,CMED5YQ2_11
medication.prescription,[string],NCIT:C28180,CMEDBTHQ2
medication.prescription,[string],NCIT:C28180,CMEDBTHQ2_2
medication.prescription,[string],NCIT:C28180,CMEDBTHQ2_3
medication.prescription,[string],NCIT:C28180,CMED5YQ2
medication.prescription,[string],NCIT:C28180,CMED5YQ2_2
medication.prescription,[string],NCIT:C28180,CMED5YQ2_3
medication.drugResponse,[string],NCIT_XXXXXX,NULL
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_4a
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_4b
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_5
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_6a
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_6b
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_6c
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_6d
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_6e
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_6f
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_6g
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_7
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_8
medication.posology,[string],NCIT:C142516,CMEDBTHQ2_9
medication.posology,[string],NCIT:C142516,CMED5YQ2_4a
medication.posology,[string],NCIT:C142516,CMED5YQ2_4b
medication.posology,[string],NCIT:C142516,CMED5YQ2_5
medication.posology,[string],NCIT:C142516,CMED5YQ2_6a
medication.posology,[string],NCIT:C142516,CMED5YQ2_6b
medication.posology,[string],NCIT:C142516,CMED5YQ2_6c
medication.posology,[string],NCIT:C142516,CMED5YQ2_6d
medication.posology,[string],NCIT:C142516,CMED5YQ2_6e
medication.posology,[string],NCIT:C142516,CMED5YQ2_6f
medication.posology,[string],NCIT:C142516,CMED5YQ2_6g
medication.posology,[string],NCIT:C142516,CMED5YQ2_7
medication.posology,[string],NCIT:C142516,CMED5YQ2_8
medication.posology,[string],NCIT:C142516,CMED5YQ2_9
medication.posology,[string],NCIT:C142516,CMED5YQ2_10
medication.administrationMethod,[string],NCIT_XXXXXX,NULL
medication.other,[string],NCIT_XXXXXX,NULL
lifeStage,[string],NCIT:C89335,NULL
