FIELD,DATA_TYPE,ONTOLOGY,MAPPING
cohortAttribute.objectives,string,NCIT:C93415,NULL
cohortAttribute.timeline,string,NCIT:C54576,NULL
cohortAttribute.studyDesign,string,NCIT:C15320,NULL
cohortAttribute.populationData.location,string,NCIT:C25341,NULL
cohortAttribute.populationData.enrollmentProcedures,string,NCIT:C25532,NULL
cohortAttribute.populationData.numberOfParticipants,string,NCIT:C49692,NULL
cohortAttribute.demographicData.sexesStudied,string,NCIT:C28421,NULL
cohortAttribute.demographicData.gendersStudied,string,NCIT:C17357,NULL
cohortAttribute.demographicData.ageRange,string,NCIT_XXXXXX,NULL

biosample.sampleType,string,NCIT:C13283,NULL
biosample.availability,string,NCIT:C25429,NULL
biosample.sampleSize,string,NCIT_XXXXXX,NULL
biosample.processingMethod,string,NCIT:C86572,NULL
biosample.storageMethod,string,NCIT:C93374,NULL

laboratoryMeasures.microbiology.microbialData,string,NCIT_XXXXXX,NULL
laboratoryMeasures.microbiology.biosampleSource,string,NCIT:C159256,NULL
laboratoryMeasures.microbiology.availableDataFormats,string,NCIT:C42761,NULL

laboratoryMeasures.genomics.dataType,string,NCIT_XXXXXX,NULL
laboratoryMeasures.genomics.sampleSize,string,NCIT:C53190,NULL
laboratoryMeasures.genomics.availableDataFormats,string,NCIT:C42761,NULL
laboratoryMeasures.genomics.availability,string,NCIT:C25429,NULL
laboratoryMeasures.genomics.processingMethod,string,NCIT:C86572,NULL
laboratoryMeasures.genomics.associatedCellTissueBiosampleType,string,NCIT:C159256,NULL
laboratoryMeasures.genomics.associatedPhenotype,string,NCIT:C985496,NULL
laboratoryMeasures.genomics.associatedDisease,string,NCIT:C15220,NULL
laboratoryMeasures.genomics.associatedMedication,string,NCIT:C459,NULL

surveyAdministration.dateAndTimeInfo,string,NCIT:C93511,NULL
surveyAdministration.consentAccessibility,string,NCIT:C16735,NULL
surveyAdministration.uniqueIdentifiers,string,NCIT:C25364,NULL
researchDataDocuments,string,NCIT:C84338,NULL
statistics,string,NCIT:C115732,NULL
