FIELD,DATA_TYPE,ONTOLOGY,MAPPING
demographic.age,string,NCIT:C25150,NULL
demographic.birthDate,string,NCIT:C68615,NULL
demographic.biologicalSex,string,NCIT:C28421,NULL
demographic.gender,string,NCIT:C17357,NULL
demographic.ethnicity,[string],NCIT:C16564,NULL
demographic.genealogy,[string],NCIT_XXXXXX,NULL
demographic.birthPlace,[string],NCIT_XXXXXX,NULL
demographic.residence,[string],NCIT:C25273,NULL
demographic.education,[string],NCIT:C16529,NULL
demographic.householdStructure,[string],NCIT_XXXXXX,NULL
lifestyle.tobacco,[string],NCIT:C29719,NULL
lifestyle.alcohol,[string],NCIT:C81229,NULL
lifestyle.physicalActivity,[string],NCIT:C120914,NULL
lifestyle.sleep,[string],NCIT:C73425,NULL
lifestyle.nutrition,[string],NCIT:C28294,NULL
Physician,[string],NCIT:C51798,NULL
diseases.bloodRelatedDisorders,[string],NCIT:C35814,NULL
diseases.endocrine,[string],NCIT_C3009,NULL
diseases.mentalAndBehaviourDisorders,[string],NCIT:C2893,NULL
diseases.nervousSystem,[string],NCIT:C26835,NULL
diseases.digestiveSystem,[string],NCIT:C2990,NULL
diseases.respiratorySystem,[string],NCIT:C26871,NULL
diseases.circulatorySystem,[string],NCIT:C2931,NULL
diseases.oncological,[string],NCIT:C8278,NULL
diseases.other,[string],NCIT_XXXXXX,NULL
symptoms,[string],NCIT_XXXXXX,NULL
physiologicalMeasurements.anthropometry.weight,[string],NCIT:C25208,NULL
physiologicalMeasurements.anthropometry.height,[string],NCIT:C25347,NULL
physiologicalMeasurements.circulationAndRespiration.bloodPressure,[string],NCIT:C54706,NULL
physiologicalMeasurements.circulationAndRespiration.heartRate,[string],NCIT:C49677,NULL
nonPharmacologicalInterventions.surgicalInterventions,[string],NCIT_C119212,NULL
medication.associatedDiseases,[string],NCIT_XXXXXX,NULL
medication.prescription,[string],NCIT:C28180,NULL
medication.drugResponse,[string],NCIT_XXXXXX,NULL
medication.posology,[string],NCIT:C142516,NULL
medication.administrationMethod,[string],NCIT_XXXXXX,NULL
medication.other,[string],NCIT_XXXXXX,NULL
lifeStage,[string],NCIT:C89335,NULL
